Average travel time without privacy (sec), 591.9356 
Average travel time with DP (sec), 592.1583 
Travel time increase due to DP (sec), 0.2227 
Percentage increase in travel time due to DP (percent), 0.0376 
Percentage cars with no additional travel time due to DP (percent), 67.9541 
Percentage cars with no change in route due to DP (percent), 97.4462 
Average number of vehicles joining the network every time step, 166.9444 
Min link utilization, 0.0453 
Max link utilization, 1.1481 
Average link utilization, 0.5223 
