Average travel time without privacy (sec), 678.1539 
Average travel time with DP (sec), 676.9241 
Travel time increase due to DP (sec), -1.2298 
Percentage increase in travel time due to DP (percent), -0.1814 
Percentage cars with no additional travel time due to DP (percent), 41.1455 
Percentage cars with no change in route due to DP (percent), 95.5909 
Average number of vehicles joining the network every time step, 250.4167 
Min link utilization, 0.0659 
Max link utilization, 1.4681 
Average link utilization, 0.7419 
