Average travel time without privacy (sec), 546.5090 
Average travel time with DP (sec), 546.4957 
Travel time increase due to DP (sec), -0.0133 
Percentage increase in travel time due to DP (percent), -0.0024 
Percentage cars with no additional travel time due to DP (percent), 97.0149 
Percentage cars with no change in route due to DP (percent), 99.6711 
Average number of vehicles joining the network every time step, 83.4722 
Min link utilization, 0.0000 
Max link utilization, 0.9028 
Average link utilization, 0.2760 
